,SoC,Designator,SoC net name,PCB net name,Pin_number,quantity,Part_number,,Cap.,Voltage,Tolerance,Decap type
1,K27Mp,IC100,CO1V0, +D1V0,K12 ,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
2,,IC100,CO1V0, +D1V0,P12 ,1,GRM155C70J225ME11-01A,,2.2uF,6.3V,0.2,402
3,,IC100,CO1V0, +D1V0,M12 ,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
4,,IC100,CPU1V0, +CPU_1V0,Y15 ,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
5,,IC100,CPU1V0, +CPU_1V0,Y17 ,1,GRM155C70J225ME11-01A,,2.2uF,6.3V,0.2,402
6,,IC100,DDRPWR, +1.2V_DDR,D30,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
7,,IC100,DDR1V2, +1.2V_DDR,D31,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
8,,IC100,DDR1V2, +1.2V_DDR,E29,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
9,,IC100,DDR1V2, +1.2V_DDR,E30,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
10,,IC100,DDR1V2, +1.2V_DDR,E31,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
11,,IC100,DDR1V2, +1.2V_DDR,F29,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
12,,IC100,DDR1V2, +1.2V_DDR,F30,1,GRM155C70J225ME11-01A,,2.2uF,6.3V,0.2,402
13,,IC100,EMMC1V8, +1.8V,V31 ,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
14,,IC100,PIF1V0, +CPU_1V0,W11 ,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
15,,IC100,HDRX1V0, +CPU_1V0,AF11 ,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
16,,IC100,PIF1V5, +VTERM,A28,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
17,,IC100,STB3V3_1, +3.5V_ST,AR24,1,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
18,,IC100,STB3V3_2, +3.5V_ST,AT24,2,GRM033C70J104KE14-01A,,0.1uF,6.3V,0.1,201
