Part No,Lvl,Rev,State,MR,Part Status,Document,Check Out,Change,R,Description,Technical Spec,MES D. Rev,Qty,UOM,UIT,Supply Type,Designator,SVC Loc,SVC,Designator/Split Qty,Designator/Split Comments,Job Explanation,Switch,Auth,Site Qty,Qty Exception,Maker,Standard,Substitute For
EBU30604301,0,1,Release,1,2,,,,B,ORP Total Assembly,MAIN K27Mp Vx1 EU_LGIT MODULE LG UD55J,,1,EA,M,,,,,,,,,,,,,N,
EBR27328701,1,1,Release,1,2,,,,B,ORP Insert PCB Assembly,MAIN M.I UD55J 65NU85 EU LGIT MODULE K27Mp,,1,EA,P,Phantom,,,,,,,,,1,N,,N,
EAG00474401,2,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Jack,Modular","26T08S-34P0014HF 8P 1.27MM STRAIGHT TRAY AU PA46 RJ45, Top Mount, DIP, H16.5, W/O Trans HONGKONG FREEPORT ELECTRONICS CO., LIMITED",,1,EA,D,Assembly Pull,JK5000,,,1,,,,,1,N,"HONGKONG FREEPORT ELECTRONICS CO., LIMITED",Y,
EAG00476401,2,1,Working,,2,,,,B,"Socket,PCI","PCT009-M68G1BY-A 68P 2.54MM FRONT ANGLE DIP TRAY PCMCIA, Reflow, LCP, H16.35(CH13.50) DONGGUAN YUQIU ELECTRONIC CO.,LTD",,1,EA,D,Assembly Pull,JK900,,,1,,,,,1,N,"Dongguan VAST Electronics Co.,Ltd",Y,
EAG59068710,2,1,Working,,2,,VICTORIA YIZZEL RIVERA(victoria.rivera),,B,"Connector,USB",SPG-105-0901138_BA A 1P 2.0MM STRAIGHT DIP TR 4P LCP  SPG ELECTRONIC,,1,EA,G,Assembly Pull,JK4400,,,1,,,,,1,N,SPG ELECTRONIC,Y,
EAG63590901,2,1,Release,1,2,,,,B,"Connector,Wafer","SMAW200-H18S5K(BK)(LTR) 18P 2.00MM 2R ANGLE DIP TR BLACK -  YEONHO ELECTRONICS CO., LTD",,1,EA,G,Assembly Pull,P1000,,,1,,,,,1,N,"YEONHO ELECTRONICS CO., LTD",Y,
EAG66851101,2,1,Working,,2,,LUIS ENRIQUE FLORES(luise.flores),,B,"Connector,Wafer","25086WR-H04 4P 2.50MM 1R STRAIGHT DIP Bulk NATURAL -  YEONHO ELECTRONICS CO., LTD",,1,EA,G,Assembly Pull,P5901,,,1,,,,,1,N,"YEONHO ELECTRONICS CO., LTD",Y,
EAT30762001,2,1,Working,,2,,,,B,"Module,Wifi Bluetooth Module","LGSWAAC63 RTL8822EU L_Module 3.135VTO3.6V 10-Lead Micro PAK 10P 50x35x8.7MM  Sichuan AI-Link Technology Co., Ltd",,1,EA,D,Assembly Pull,IC4000,,,1,,,,,1,N,"Sichuan AI-Link Technology Co., Ltd",Y,
EBR27328801,2,1,Release,1,2,,,,B,"Auto Insert PCB Assembly,Main",MAIN A.I UD55J 65NU85 K27MP EU LGIT MODULE Vx1 DEV,,1,EA,P,Phantom,,,,,,,,,1,N,,N,
EAX02034601,3,1.2,Working,1.1,2,,김상록(sangrok.kim),ECO,B,"PCB,Main",1 MRGB80(NU85Tool) K27Mp Initial Main PCB_TOB_68P Main - 2 1.6M EPOXY - OSP 0.25pie 100um 100um - GREEN Y,,1,EA,G,Assembly Pull,,,,,,,,,1,N,,N,
EBR27328901,3,1,Release,1,2,,,,B,"Upper SMT PCB Assembly,Main",MAIN S.T UD55J 65NU85 K27MP EU LGIT MODULE Vx1 DEV,,1,EA,P,Phantom,,,,,,,,,1,N,,N,
