Designator,UI_Pin,UI_Token,EDB_Pin,Net,Source,Confidence
IC100,A10,A10,A10,TX_P_1_IM100,runtime_pin_display,0.96
IC100,A10,A10,A10,TX_P_1_IM100,components_api,0.93
IC100,A12,A12,A12,TX_N_3_IM100,runtime_pin_display,0.96
IC100,A12,A12,A12,TX_N_3_IM100,components_api,0.93
IC100,A14,A14,A14,GND,runtime_pin_display,0.96
IC100,A14,A14,A14,GND,components_api,0.93
IC100,A16,A16,A16,TX_P_6_IM100,runtime_pin_display,0.96
IC100,A16,A16,A16,TX_P_6_IM100,components_api,0.93
IC100,A18,A18,A18,TX_N_8_IM100,runtime_pin_display,0.96
IC100,A18,A18,A18,TX_N_8_IM100,components_api,0.93
IC100,A2,A2,A2,EPHY_TD_N_IM100,runtime_pin_display,0.96
IC100,A2,A2,A2,EPHY_TD_N_IM100,components_api,0.93
IC100,A20,A20,A20,GND,runtime_pin_display,0.96
IC100,A20,A20,A20,GND,components_api,0.93
IC100,A22,A22,A22,TX_P_11_IM100,runtime_pin_display,0.96
IC100,A22,A22,A22,TX_P_11_IM100,components_api,0.93
IC100,A24,A24,A24,TX_N_13_IM100,runtime_pin_display,0.96
IC100,A24,A24,A24,TX_N_13_IM100,components_api,0.93
IC100,A26,A26,A26,GND,runtime_pin_display,0.96
IC100,A26,A26,A26,GND,components_api,0.93
IC100,A28,A28,B28,SIGN003116,siw_coord_net,0.91
IC100,A30,A30,A26,GND,siw_coord_net,0.86
IC100,A4,A4,A4,POWER_ON_OFF_REOTP,runtime_pin_display,0.96
IC100,A4,A4,A4,POWER_ON_OFF_REOTP,components_api,0.93
IC100,A6,A6,A6,HTPDAn,runtime_pin_display,0.96
IC100,A6,A6,A6,HTPDAn,components_api,0.93
IC100,A8,A8,A8,GND,runtime_pin_display,0.96
IC100,A8,A8,A8,GND,components_api,0.93
IC100,AA1,AA1,AA1,HDMI2.1_3_CK_-_IM90,runtime_pin_display,0.96
IC100,AA1,AA1,AA1,HDMI2.1_3_CK_-_IM90,components_api,0.93
IC100,AA10,AA10,AA10,+CPU_1V0,runtime_pin_display,0.96
IC100,AA10,AA10,AA10,+CPU_1V0,components_api,0.93
IC100,AA13,AA13,AA13,+D1V0,runtime_pin_display,0.96
IC100,AA13,AA13,AA13,+D1V0,components_api,0.93
IC100,AA14,AA14,AA14,GND,runtime_pin_display,0.96
IC100,AA14,AA14,AA14,GND,components_api,0.93
IC100,AA15,AA15,AA15,+CPU_1V0,runtime_pin_display,0.96
IC100,AA15,AA15,AA15,+CPU_1V0,components_api,0.93
IC100,AA17,AA17,AA17,+CPU_1V0,runtime_pin_display,0.96
IC100,AA17,AA17,AA17,+CPU_1V0,components_api,0.93
IC100,AA18,AA18,AB18,GND,siw_coord_net,0.91
IC100,AA20,AA20,AA20,GND,runtime_pin_display,0.96
IC100,AA20,AA20,AA20,GND,components_api,0.93
IC100,AA29,AA29,AA29,EMMC_DATA[2],runtime_pin_display,0.96
IC100,AA29,AA29,AA29,EMMC_DATA[2],components_api,0.93
IC100,AA3,AA3,AA3,GND,runtime_pin_display,0.96
IC100,AA3,AA3,AA3,GND,components_api,0.93
IC100,AA30,AA30,AA30,EMMC_DATA[7],runtime_pin_display,0.96
IC100,AA30,AA30,AA30,EMMC_DATA[7],components_api,0.93
IC100,AA4,AA4,AA4,GND,runtime_pin_display,0.96
IC100,AA4,AA4,AA4,GND,components_api,0.93
IC100,AA5,AA5,AA5,SIGN001618,runtime_pin_display,0.96
IC100,AA5,AA5,AA5,SIGN001618,components_api,0.93
IC100,AA6,AA6,AA6,GND,runtime_pin_display,0.96
IC100,AA6,AA6,AA6,GND,components_api,0.93
IC100,AA7,AA7,AA7,FE_DEMOD1_TS_VAL,runtime_pin_display,0.96
IC100,AA7,AA7,AA7,FE_DEMOD1_TS_VAL,components_api,0.93
IC100,AA8,AA8,AA8,FE_DEMOD1_TS_SYNC,runtime_pin_display,0.96
IC100,AA8,AA8,AA8,FE_DEMOD1_TS_SYNC,components_api,0.93
IC100,AA9,AA9,AA9,FE_DEMOD1_TS_DATA[7],runtime_pin_display,0.96
IC100,AA9,AA9,AA9,FE_DEMOD1_TS_DATA[7],components_api,0.93
IC100,AB1,AB1,AB1,HDMI2.1_3_CK_+_IM90,runtime_pin_display,0.96
IC100,AB1,AB1,AB1,HDMI2.1_3_CK_+_IM90,components_api,0.93
IC100,AB12,AB12,AB12,+D1V0,runtime_pin_display,0.96
IC100,AB12,AB12,AB12,+D1V0,components_api,0.93
IC100,AB14,AB14,AB14,GND,runtime_pin_display,0.96
IC100,AB14,AB14,AB14,GND,components_api,0.93
IC100,AB15,AB15,AB15,+CPU_1V0,runtime_pin_display,0.96
IC100,AB15,AB15,AB15,+CPU_1V0,components_api,0.93
IC100,AB17,AB17,AB17,+CPU_1V0,runtime_pin_display,0.96
IC100,AB17,AB17,AB17,+CPU_1V0,components_api,0.93
IC100,AB18,AB18,AB18,GND,runtime_pin_display,0.96
IC100,AB18,AB18,AB18,GND,components_api,0.93
IC100,AB2,AB2,AB2,GND,runtime_pin_display,0.96
IC100,AB2,AB2,AB2,GND,components_api,0.93
IC100,AB23,AB23,AB23,TPO_DATA[7],runtime_pin_display,0.96
IC100,AB23,AB23,AB23,TPO_DATA[7],components_api,0.93
IC100,AB24,AB24,AB24,TPO_DATA[6],runtime_pin_display,0.96
IC100,AB24,AB24,AB24,TPO_DATA[6],components_api,0.93
IC100,AB25,AB25,AB25,TPO_CLK,runtime_pin_display,0.96
IC100,AB25,AB25,AB25,TPO_CLK,components_api,0.93
IC100,AB26,AB26,AB26,TPO_DATA[4],runtime_pin_display,0.96
IC100,AB26,AB26,AB26,TPO_DATA[4],components_api,0.93
IC100,AB27,AB27,AB27,TPO_VAL,runtime_pin_display,0.96
IC100,AB27,AB27,AB27,TPO_VAL,components_api,0.93
IC100,AB28,AB28,AB28,TPO_DATA[5],runtime_pin_display,0.96
IC100,AB28,AB28,AB28,TPO_DATA[5],components_api,0.93
IC100,AB29,AB29,AB29,EMMC_DATA[0],runtime_pin_display,0.96
IC100,AB29,AB29,AB29,EMMC_DATA[0],components_api,0.93
IC100,AB3,AB3,AB3,HDMI2.1_3_D0_-_IM90,runtime_pin_display,0.96
IC100,AB3,AB3,AB3,HDMI2.1_3_D0_-_IM90,components_api,0.93
IC100,AB30,AB30,AB30,GND,runtime_pin_display,0.96
IC100,AB30,AB30,AB30,GND,components_api,0.93
IC100,AB31,AB31,AB31,EMMC_DATA[1],runtime_pin_display,0.96
IC100,AB31,AB31,AB31,EMMC_DATA[1],components_api,0.93
IC100,AB4,AB4,AB4,GND,runtime_pin_display,0.96
IC100,AB4,AB4,AB4,GND,components_api,0.93
IC100,AC13,AC13,AC13,+D1V0,runtime_pin_display,0.96
IC100,AC13,AC13,AC13,+D1V0,components_api,0.93
IC100,AC15,AC15,AC15,+CPU_1V0,runtime_pin_display,0.96
IC100,AC15,AC15,AC15,+CPU_1V0,components_api,0.93
IC100,AC17,AC17,AC17,+CPU_1V0,runtime_pin_display,0.96
IC100,AC17,AC17,AC17,+CPU_1V0,components_api,0.93
IC100,AC18,AC18,AC18,GND,runtime_pin_display,0.96
IC100,AC18,AC18,AC18,GND,components_api,0.93
IC100,AC23,AC23,AC23,TPO_DATA[3],runtime_pin_display,0.96
IC100,AC23,AC23,AC23,TPO_DATA[3],components_api,0.93
IC100,AC25,AC25,AC25,TPO_DATA[2],runtime_pin_display,0.96
IC100,AC25,AC25,AC25,TPO_DATA[2],components_api,0.93
IC100,AC27,AC27,AC27,TPO_DATA[1],runtime_pin_display,0.96
IC100,AC27,AC27,AC27,TPO_DATA[1],components_api,0.93
IC100,AC29,AC29,AC29,EMMC_DATA[3],runtime_pin_display,0.96
IC100,AC29,AC29,AC29,EMMC_DATA[3],components_api,0.93
IC100,AC3,AC3,AC3,HDMI2.1_3_D0_+_IM90,runtime_pin_display,0.96
IC100,AC3,AC3,AC3,HDMI2.1_3_D0_+_IM90,components_api,0.93
IC100,AC30,AC30,AC30,EMMC_DATA[4],runtime_pin_display,0.96
IC100,AC30,AC30,AC30,EMMC_DATA[4],components_api,0.93
IC100,AC4,AC4,AC4,GND,runtime_pin_display,0.96
IC100,AC4,AC4,AC4,GND,components_api,0.93
IC100,AC5,AC5,AC5,GND,runtime_pin_display,0.96
IC100,AC5,AC5,AC5,GND,components_api,0.93
IC100,AC6,AC6,AC6,GND,runtime_pin_display,0.96
IC100,AC6,AC6,AC6,GND,components_api,0.93
IC100,AC7,AC7,AC7,GND,runtime_pin_display,0.96
IC100,AC7,AC7,AC7,GND,components_api,0.93
IC100,AC9,AC9,AC9,GND,runtime_pin_display,0.96
IC100,AC9,AC9,AC9,GND,components_api,0.93
IC100,AD14,AD14,AD14,+D1V0,runtime_pin_display,0.96
IC100,AD14,AD14,AD14,+D1V0,components_api,0.93
IC100,AD16,AD16,AD16,+CPU_1V0,runtime_pin_display,0.96
IC100,AD16,AD16,AD16,+CPU_1V0,components_api,0.93
IC100,AD17,AD17,AD17,+CPU_1V0,runtime_pin_display,0.96
IC100,AD17,AD17,AD17,+CPU_1V0,components_api,0.93
IC100,AD18,AD18,AD18,GND,runtime_pin_display,0.96
IC100,AD18,AD18,AD18,GND,components_api,0.93
IC100,AD29,AD29,AD29,GND,runtime_pin_display,0.96
IC100,AD29,AD29,AD29,GND,components_api,0.93
IC100,AD3,AD3,AD3,GND,runtime_pin_display,0.96
IC100,AD3,AD3,AD3,GND,components_api,0.93
IC100,AD30,AD30,AD30,EMMC_STRB,runtime_pin_display,0.96
IC100,AD30,AD30,AD30,EMMC_STRB,components_api,0.93
IC100,AD31,AD31,AD31,EMMC_DATA[5],runtime_pin_display,0.96
